Sisa Makanan,Kayu/Ranting,Kertas/Karton,Plastik,Logam,Kain,Karet/Kulit,Kaca,Lainnya,postal_code,Provinsi,Kabupaten/Kota,Kelurahan,Kecamatan,Fasilitas_ID,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahterkelola (ton/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Bahan baku Sumber Energi
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,11,2,pelapak tpa 1,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,1,2,pelapak tpa 5,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,BENDUNGAN,WATES,12,2,Pengepul Nagung,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55652,D.I. Yogyakarta,KULON PROGO,TAWANGSARI,PENGASIH,3,2,Catur Berkah Rosok,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55674,D.I. Yogyakarta,KULON PROGO,PURWOSARI,GIRIMULYO,4,2,Sukirman,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55674,D.I. Yogyakarta,KULON PROGO,PENDOWOREJO,GIRIMULYO,13,2,Parjiman,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,DONOMULYO,NANGGULAN,14,2,Urip,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,6,2,pelapak tpa 3,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,GIRIPENI,WATES,15,2,Pengepul giripeni,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,DONOMULYO,NANGGULAN,8,2,Rustinah,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55674,D.I. Yogyakarta,KULON PROGO,PURWOSARI,GIRIMULYO,16,2,Mujiyatno,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,TRIHARJO,WATES,17,2,Suryono,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,11,2,pelapak tpa 1,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,18,2,pelapak tpa 4,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,BENDUNGAN,WATES,12,2,Pengepul Nagung,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,DONOMULYO,NANGGULAN,14,2,Urip,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55674,D.I. Yogyakarta,KULON PROGO,PENDOWOREJO,GIRIMULYO,13,2,Parjiman,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,19,2,pelapak tpa 2,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,GIRIPENI,WATES,15,2,Pengepul giripeni,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55664,D.I. Yogyakarta,KULON PROGO,TUKSONO,SENTOLO,2,2,Rubikin,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55674,D.I. Yogyakarta,KULON PROGO,PURWOSARI,GIRIMULYO,16,2,Mujiyatno,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,TRIHARJO,WATES,17,2,Suryono,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55652,D.I. Yogyakarta,KULON PROGO,PENGASIH,PENGASIH,5,2,Patoni,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,18,2,pelapak tpa 4,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55651,D.I. Yogyakarta,KULON PROGO,GIRIPENI,WATES,7,2,Pengepul Giripeni 2,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55664,D.I. Yogyakarta,KULON PROGO,SENTOLO,SENTOLO,9,2,Novianto,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55655,D.I. Yogyakarta,KULON PROGO,PLERET,PANJATAN,10,2,Suyono,Pengepul,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
0,1,1,1,1,1,1,1,1,55671,D.I. Yogyakarta,KULON PROGO,BANYUROTO,NANGGULAN,19,2,pelapak tpa 2,Lapak,A,390.55,390.55,0.0,0.0,390.55,0.0,0.0
